bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;315.7894737;0.95;0.95;157.8947368;157.8947368
2;0;315.7894737;0.95;0.95;157.8947368;157.8947368
3;0;315.7894737;0.95;0.95;157.8947368;157.8947368
4;0;315.7894737;0.95;0.95;157.8947368;157.8947368
5;0;315.7894737;0.95;0.95;157.8947368;157.8947368
6;0;315.7894737;0.95;0.95;157.8947368;157.8947368
7;0;315.7894737;0.95;0.95;157.8947368;157.8947368
8;0;315.7894737;0.95;0.95;157.8947368;157.8947368
9;0;315.7894737;0.95;0.95;157.8947368;157.8947368
10;0;315.7894737;0.95;0.95;157.8947368;157.8947368
11;0;315.7894737;0.95;0.95;157.8947368;157.8947368
12;0;315.7894737;0.95;0.95;157.8947368;157.8947368
13;0;315.7894737;0.95;0.95;157.8947368;157.8947368
14;0;315.7894737;0.95;0.95;157.8947368;157.8947368
15;0;315.7894737;0.95;0.95;157.8947368;157.8947368
16;0;315.7894737;0.95;0.95;157.8947368;157.8947368
17;0;315.7894737;0.95;0.95;157.8947368;157.8947368
18;0;315.7894737;0.95;0.95;157.8947368;157.8947368
19;0;315.7894737;0.95;0.95;157.8947368;157.8947368
