bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1287.821352;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1774.378694;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1215.018662;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3248.128073;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1672.010324;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1145.837643;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1375.560204;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1665.435692;0;0;0;1;1;0;100;1;1.1;0.9
9;1;928.1212398;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1352.428449;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1403.647766;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2083.875566;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1658.216621;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2339.766818;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1263.250444;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2802.635929;0;0;0;1;1;0;100;1;1.1;0.9
17;1;826.5656511;0;0;0;1;1;0;100;1;1.1;0.9
18;1;940.3408188;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2919.960054;0;0;0;1;1;0;100;1;1.1;0.9
