bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;829.5373095;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1142.94838;0;0;0;1;1;0;100;1;1.1;0.9
3;1;782.6421809;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2092.249378;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1077.008813;0;0;0;1;1;0;100;1;1.1;0.9
6;1;738.0799159;0;0;0;1;1;0;100;1;1.1;0.9
7;1;886.0534176;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1072.773829;0;0;0;1;1;0;100;1;1.1;0.9
9;1;597.8400614;0;0;0;1;1;0;100;1;1.1;0.9
10;1;871.153328;0;0;0;1;1;0;100;1;1.1;0.9
11;1;904.1457414;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1342.30771;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1068.123737;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1507.137514;0;0;0;1;1;0;100;1;1.1;0.9
15;1;813.7102034;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1805.290046;0;0;0;1;1;0;100;1;1.1;0.9
17;1;532.4240394;0;0;0;1;1;0;100;1;1.1;0.9
18;1;605.7111816;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1880.863214;0;0;0;1;1;0;100;1;1.1;0.9
