bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;822.3520228;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1133.048389;0;0;0;1;1;0;100;1;1.1;0.9
3;1;775.8630905;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2074.126731;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1067.679977;0;0;0;1;1;0;100;1;1.1;0.9
6;1;731.6868149;0;0;0;1;1;0;100;1;1.1;0.9
7;1;878.3785997;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1063.481676;0;0;0;1;1;0;100;1;1.1;0.9
9;1;592.66169;0;0;0;1;1;0;100;1;1.1;0.9
10;1;863.6075717;0;0;0;1;1;0;100;1;1.1;0.9
11;1;896.3142114;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1330.680909;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1058.871862;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1494.082989;0;0;0;1;1;0;100;1;1.1;0.9
15;1;806.6620079;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1789.652984;0;0;0;1;1;0;100;1;1.1;0.9
17;1;527.8122886;0;0;0;1;1;0;100;1;1.1;0.9
18;1;600.4646322;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1864.571552;0;0;0;1;1;0;100;1;1.1;0.9
