bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;874.6270017;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1205.073603;0;0;0;1;1;0;100;1;1.1;0.9
3;1;825.1828776;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2205.974077;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1135.549876;0;0;0;1;1;0;100;1;1.1;0.9
6;1;778.1984203;0;0;0;1;1;0;100;1;1.1;0.9
7;1;934.215056;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1131.084699;0;0;0;1;1;0;100;1;1.1;0.9
9;1;630.3357961;0;0;0;1;1;0;100;1;1.1;0.9
10;1;918.5050685;0;0;0;1;1;0;100;1;1.1;0.9
11;1;953.2907922;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1415.269156;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1126.181849;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1589.058322;0;0;0;1;1;0;100;1;1.1;0.9
15;1;857.9396096;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1903.417004;0;0;0;1;1;0;100;1;1.1;0.9
17;1;561.3640711;0;0;0;1;1;0;100;1;1.1;0.9
18;1;638.6347528;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1983.097968;0;0;0;1;1;0;100;1;1.1;0.9
