bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;833.9372884;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1149.010734;0;0;0;1;1;0;100;1;1.1;0.9
3;1;786.7934217;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2103.346954;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1082.721414;0;0;0;1;1;0;100;1;1.1;0.9
6;1;741.9947923;0;0;0;1;1;0;100;1;1.1;0.9
7;1;890.7531657;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1078.463968;0;0;0;1;1;0;100;1;1.1;0.9
9;1;601.0110865;0;0;0;1;1;0;100;1;1.1;0.9
10;1;875.7740439;0;0;0;1;1;0;100;1;1.1;0.9
11;1;908.9414536;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1349.427493;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1073.789211;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1515.131576;0;0;0;1;1;0;100;1;1.1;0.9
15;1;818.0262332;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1814.865551;0;0;0;1;1;0;100;1;1.1;0.9
17;1;535.2480891;0;0;0;1;1;0;100;1;1.1;0.9
18;1;608.9239562;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1890.839568;0;0;0;1;1;0;100;1;1.1;0.9
