bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;868.8545523;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1197.12024;0;0;0;1;1;0;100;1;1.1;0.9
3;1;819.7367544;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2191.414872;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1128.055362;0;0;0;1;1;0;100;1;1.1;0.9
6;1;773.0623898;0;0;0;1;1;0;100;1;1.1;0.9
7;1;928.0493315;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1123.619655;0;0;0;1;1;0;100;1;1.1;0.9
9;1;626.1756439;0;0;0;1;1;0;100;1;1.1;0.9
10;1;912.4430283;0;0;0;1;1;0;100;1;1.1;0.9
11;1;946.9991698;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1405.928523;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1118.749163;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1578.570698;0;0;0;1;1;0;100;1;1.1;0.9
15;1;852.2772952;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1890.854645;0;0;0;1;1;0;100;1;1.1;0.9
17;1;557.6591253;0;0;0;1;1;0;100;1;1.1;0.9
18;1;634.4198283;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1970.009723;0;0;0;1;1;0;100;1;1.1;0.9
