bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;861.9921998;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1187.665192;0;0;0;1;1;0;100;1;1.1;0.9
3;1;813.2623422;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2174.106726;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1119.1458;0;0;0;1;1;0;100;1;1.1;0.9
6;1;766.9566192;0;0;0;1;1;0;100;1;1.1;0.9
7;1;920.7194492;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1114.745127;0;0;0;1;1;0;100;1;1.1;0.9
9;1;621.2300083;0;0;0;1;1;0;100;1;1.1;0.9
10;1;905.2364071;0;0;0;1;1;0;100;1;1.1;0.9
11;1;939.5196186;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1394.824275;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1109.913103;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1566.102894;0;0;0;1;1;0;100;1;1.1;0.9
15;1;845.5458726;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1875.920372;0;0;0;1;1;0;100;1;1.1;0.9
17;1;553.2546442;0;0;0;1;1;0;100;1;1.1;0.9
18;1;629.4090789;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1954.450271;0;0;0;1;1;0;100;1;1.1;0.9
