bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;843.7867825;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1162.581508;0;0;0;1;1;0;100;1;1.1;0.9
3;1;796.0861074;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2128.189233;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1095.509256;0;0;0;1;1;0;100;1;1.1;0.9
6;1;750.7583689;0;0;0;1;1;0;100;1;1.1;0.9
7;1;901.2737026;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1091.201526;0;0;0;1;1;0;100;1;1.1;0.9
9;1;608.1095281;0;0;0;1;1;0;100;1;1.1;0.9
10;1;886.117665;0;0;0;1;1;0;100;1;1.1;0.9
11;1;919.6768094;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1365.365356;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1086.471556;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1533.026543;0;0;0;1;1;0;100;1;1.1;0.9
15;1;827.6878044;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1836.300625;0;0;0;1;1;0;100;1;1.1;0.9
17;1;541.5698149;0;0;0;1;1;0;100;1;1.1;0.9
18;1;616.1158554;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1913.171959;0;0;0;1;1;0;100;1;1.1;0.9
