bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;537.5414068;0.95;0.95;268.7707034;268.7707034
2;0;96.15252121;0.95;0.95;48.0762606;48.0762606
3;0;102.6874831;0.95;0.95;51.34374154;51.34374154
4;0;6.787017149;0.95;0.95;3.393508575;3.393508575
5;0;401.3329011;0.95;0.95;200.6664506;200.6664506
6;0;32.49397019;0.95;0.95;16.2469851;16.2469851
7;0;141.906217;0.95;0.95;70.95310849;70.95310849
8;0;76.45425543;0.95;0.95;38.22712771;38.22712771
9;0;493.6667363;0.95;0.95;246.8333681;246.8333681
10;0;248.1314367;0.95;0.95;124.0657183;124.0657183
11;0;356.7406334;0.95;0.95;178.3703167;178.3703167
12;0;23.27961863;0.95;0.95;11.63980932;11.63980932
13;0;67.65814091;0.95;0.95;33.82907045;33.82907045
14;0;53.55715253;0.95;0.95;26.77857626;26.77857626
15;0;2.289173176;0.95;0.95;1.144586588;1.144586588
16;0;8.196164713;0.95;0.95;4.098082357;4.098082357
17;0;74.98230436;0.95;0.95;37.49115218;37.49115218
18;0;208.4847265;0.95;0.95;104.2423632;104.2423632
19;0;67.65814091;0.95;0.95;33.82907045;33.82907045
