bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1054.339902;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1452.68461;0;0;0;1;1;0;100;1;1.1;0.9
3;1;994.7363078;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2659.243869;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1368.875581;0;0;0;1;1;0;100;1;1.1;0.9
6;1;938.0977773;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1126.171738;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1363.492927;0;0;0;1;1;0;100;1;1.1;0.9
9;1;759.8532635;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1107.23376;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1149.167037;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1706.069834;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1357.58267;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1915.568113;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1034.223689;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2294.519256;0;0;0;1;1;0;100;1;1.1;0.9
17;1;676.7096587;0;0;0;1;1;0;100;1;1.1;0.9
18;1;769.8574381;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2390.572568;0;0;0;1;1;0;100;1;1.1;0.9
