hour;bus;voltageNode;angleDegrees
12;15;1.0;-1.319
12;16;1.0;-0.852
12;17;1.0;1.198
12;18;1.0;2.317
12;19;1.0;11.437
13;1;1.0;-9.511
13;2;1.0;-2.61
13;3;1.0;2.699
13;4;1.0;-12.361
13;5;1.0;-7.827
13;6;1.0;1.668
13;7;1.0;-18.798
13;8;1.0;-0.116
13;9;1.0;-6.877
13;10;1.0;-16.504
13;11;1.0;-2.168
13;12;1.0;-20.399
13;13;1.0;-2.402
13;14;1.0;-4.775
13;15;1.0;-18.765
13;16;1.0;-18.532
13;17;1.0;-14.767
13;18;1.0;0.0
13;19;1.0;-3.795
14;1;1.0;-9.63
14;2;1.0;-2.75
14;3;1.0;2.592
14;4;1.0;-12.48
14;5;1.0;-8.231
14;6;1.0;1.326
14;7;1.0;-19.048
14;8;1.0;-0.255
14;9;1.0;-6.996
14;10;1.0;-16.755
14;11;1.0;-2.573
14;12;1.0;-20.623
14;13;1.0;-2.796
14;14;1.0;-5.117
14;15;1.0;-19.127
14;16;1.0;-18.936
14;17;1.0;-14.985
14;18;1.0;0.0
14;19;1.0;-4.188
15;1;1.0;-9.509
15;2;1.0;-2.73
15;3;1.0;2.641
15;4;1.0;-12.359
15;5;1.0;-7.828
15;6;1.0;1.625
15;7;1.0;-18.663
15;8;1.0;-0.312
15;9;1.0;-6.875
15;10;1.0;-16.45
15;11;1.0;-2.169
15;12;1.0;-20.18
15;13;1.0;-2.271
15;14;1.0;-4.817
15;15;1.0;-18.747
15;16;1.0;-18.532
15;17;1.0;-14.702
15;18;1.0;0.0
15;19;1.0;-3.638
16;1;1.0;-9.853
16;2;1.0;-2.756
16;3;1.0;2.813
16;4;1.0;-12.027
16;5;1.0;-5.973
16;6;1.0;2.473
16;7;1.0;-16.966
16;8;1.0;-0.693
16;9;1.0;-6.543
16;10;1.0;-15.168
16;11;1.0;-0.314
16;12;1.0;-18.222
16;13;1.0;0.32
16;14;1.0;-3.97
16;15;1.0;-17.033
16;16;1.0;-16.678
16;17;1.0;-13.552
16;18;1.0;0.0
16;19;1.0;-0.896
17;1;1.0;-8.579
17;2;1.0;-1.083
17;3;1.0;-4.214
17;4;1.0;-10.871
17;5;1.0;-4.3
17;6;1.0;1.837
17;7;1.0;-15.541
17;8;1.0;-1.506
17;9;1.0;-5.386
17;10;1.0;-14.193
17;11;1.0;1.359
17;12;1.0;-16.542
17;13;1.0;1.906
17;14;1.0;-3.013
17;15;1.0;-15.536
17;16;1.0;-15.005
17;17;1.0;-12.411
17;18;1.0;0.0
17;19;1.0;0.716
18;1;1.0;-6.379
18;2;1.0;-0.897
18;3;1.0;4.806
18;4;1.0;-8.407
18;5;1.0;-4.661
18;6;1.0;6.032
18;7;1.0;-11.987
18;8;1.0;0.248
18;9;1.0;-3.891
18;10;1.0;-11.123
18;11;1.0;0.913
18;12;1.0;-12.512
18;13;1.0;2.677
18;14;1.0;-0.411
18;15;1.0;-12.469
18;16;1.0;-12.198
18;17;1.0;-9.541
18;18;1.0;0.0
18;19;1.0;1.736
19;1;1.0;4.198
19;2;1.0;3.212
19;3;1.0;0.639
19;4;1.0;1.349
19;5;1.0;10.532
19;6;1.0;7.267
19;7;1.0;-0.839
19;8;1.0;2.433
19;9;1.0;4.183
19;10;1.0;0.0
19;11;1.0;15.632
19;12;1.0;-1.347
19;13;1.0;18.385
19;14;1.0;6.924
19;15;1.0;-0.699
19;16;1.0;0.072
19;17;1.0;0.815
19;18;1.0;1.401
19;19;1.0;17.602
20;1;1.0;-1.182
20;2;1.0;3.379
20;3;1.0;3.143
20;4;1.0;-3.539
20;5;1.0;3.561
20;6;1.0;6.72
20;7;1.0;-7.815
20;8;1.0;2.758
20;9;1.0;1.514
20;10;1.0;-6.61
20;11;1.0;9.102
20;12;1.0;-8.412
20;13;1.0;10.934
20;14;1.0;3.576
20;15;1.0;-7.554
20;16;1.0;-6.867
20;17;1.0;-5.374
20;18;1.0;0.0
20;19;1.0;10.007
21;1;1.0;0.01
21;2;1.0;2.117
21;3;1.0;-0.36
21;4;1.0;-2.84
21;5;1.0;3.234
21;6;1.0;4.551
21;7;1.0;-7.377
21;8;1.0;1.45
21;9;1.0;0.678
21;10;1.0;-6.058
21;11;1.0;8.893
21;12;1.0;-8.196
21;13;1.0;11.813
21;14;1.0;3.419
21;15;1.0;-7.184
21;16;1.0;-6.602
21;17;1.0;-5.402
21;18;1.0;0.0
21;19;1.0;10.902
22;1;1.0;2.213
22;2;1.0;1.935
22;3;1.0;-1.005
22;4;1.0;-0.637
22;5;1.0;6.792
22;6;1.0;5.205
22;7;1.0;-1.894
22;8;1.0;1.016
22;9;1.0;1.634
22;10;1.0;-1.843
22;11;1.0;12.45
22;12;1.0;-1.265
22;13;1.0;16.765
22;14;1.0;5.098
22;15;1.0;-1.618
22;16;1.0;-0.319
22;17;1.0;-1.933
22;18;1.0;0.0
22;19;1.0;15.662
23;1;1.0;1.84
23;2;1.0;2.968
23;3;1.0;-1.197
23;4;1.0;-1.01
23;5;1.0;6.841
23;6;1.0;4.524
23;7;1.0;-2.065
23;8;1.0;1.522
23;9;1.0;1.687
23;10;1.0;-1.896
23;11;1.0;12.499
23;12;1.0;-1.649
23;13;1.0;17.453
23;14;1.0;4.545
23;15;1.0;-1.177
23;16;1.0;0.576
23;17;1.0;-2.015
23;18;1.0;0.0
23;19;1.0;16.153
24;1;1.0;0.706
24;2;1.0;4.028
24;3;1.0;-1.341
24;4;1.0;-1.968
24;5;1.0;5.422
24;6;1.0;3.48
24;7;1.0;-3.451
24;8;1.0;2.111
24;9;1.0;1.446
24;10;1.0;-3.144
24;11;1.0;11.081
24;12;1.0;-3.11
24;13;1.0;16.038
24;14;1.0;3.287
24;15;1.0;-2.608
24;16;1.0;-0.916
24;17;1.0;-3.098
24;18;1.0;0.0
24;19;1.0;14.672
