hour;fbus;tbus;flow
9;10;17;-665.127
9;11;13;-153.832
9;11;14;465.982
9;13;19;1228.348
9;15;16;-302.948
9;1;14;-902.895
9;2;8;-944.656
9;2;9;1159.823
9;3;6;12.371
9;3;8;173.799
9;3;18;42.553
9;4;9;-1772.443
10;1;4;1600.085
10;1;5;-263.583
10;4;10;1536.934
10;4;18;-573.17
10;5;11;-1627.562
10;5;13;-101.772
10;5;16;1300.33
10;6;14;1445.212
10;7;10;-1137.888
10;7;12;832.045
10;7;15;-36.612
10;7;17;-66.179
10;1;10;324.107
10;8;18;106.039
10;9;17;892.916
10;9;18;-991.053
10;10;15;819.202
10;10;16;87.092
10;10;17;-704.137
10;11;13;-47.452
10;11;14;407.705
10;13;19;1313.039
10;15;16;-245.649
10;1;14;-930.826
10;2;8;-1212.129
10;2;9;1065.884
10;3;6;40.373
10;3;8;279.446
10;3;18;46.567
10;4;9;-1772.443
11;1;4;1600.085
11;1;5;-238.939
11;4;10;1538.019
11;4;18;-585.488
11;5;11;-1627.562
11;5;13;-99.59
11;5;16;1300.33
11;6;14;1445.212
11;7;10;-1129.735
11;7;12;818.061
11;7;15;-12.079
11;7;17;-66.786
11;1;10;324.244
11;8;18;59.058
11;9;17;887.434
11;9;18;-1030.757
11;10;15;861.772
11;10;16;95.079
11;10;17;-726.777
11;11;13;-9.496
11;11;14;402.771
11;13;19;1333.216
11;15;16;-202.576
11;1;14;-904.497
11;2;8;-1232.971
11;2;9;1052.355
11;3;6;65.721
11;3;8;303.617
11;3;18;45.195
11;4;9;-1772.443
12;1;4;1600.085
12;1;5;-487.406
12;4;10;754.501
12;4;18;-11.068
12;5;11;-781.453
12;5;13;-73.674
12;5;16;1107.484
12;6;14;133.65
12;7;10;-630.584
12;7;12;495.514
12;7;15;7.963
12;7;17;-41.527
12;1;10;225.302
12;8;18;130.235
12;9;17;521.441
12;9;18;563.86
12;10;15;510.364
12;10;16;41.169
12;10;17;-514.448
12;11;13;-454.34
12;11;14;888.261
12;13;19;1035.647
12;15;16;-364.208
12;1;14;-56.898
12;2;8;527.094
12;2;9;-425.839
12;3;6;-453.492
12;3;8;-356.056
12;3;18;-33.814
12;4;9;-1240.699
13;1;4;1600.085
13;1;5;-246.754
13;4;10;1496.842
13;4;18;-598.869
13;5;11;-1627.562
13;5;13;-94.956
13;5;16;1300.33
13;6;14;1445.212
13;7;10;-1131.983
13;7;12;835.396
13;7;15;-6.284
13;7;17;-67.61
13;1;10;319.044
13;8;18;-20.26
13;9;17;869.953
13;9;18;-1073.89
13;10;15;875.101
13;10;16;98.009
13;10;17;-745.922
13;11;13;71.115
13;11;14;402.746
13;13;19;1390.58
13;15;16;-182.168
13;1;14;-914.833
13;2;8;-1230.045
13;2;9;1011.553
13;3;6;84.644
13;3;8;363.246
13;3;18;45.327
13;4;9;-1772.443
14;1;4;1600.085
14;1;5;-204.912
14;4;10;1544.557
14;4;18;-604.63
14;5;11;-1627.562
14;5;13;-95.133
14;5;16;1300.33
14;6;14;1445.212
14;7;10;-1131.76
14;7;12;821.687
14;7;15;15.34
14;7;17;-68.148
14;1;10;325.07
14;8;18;-44.522
14;9;17;880.928
14;9;18;-1092.458
14;10;15;918.084
14;10;16;105.433
14;10;17;-759.886
14;11;13;68.024
14;11;14;393.076
14;13;19;1389.51
14;15;16;-149.01
14;1;14;-871.747
14;2;8;-1230.33
14;2;9;1006.665
14;3;6;103.905
14;3;8;367.329
14;3;18;43.525
14;4;9;-1772.443
15;1;4;1600.085
15;1;5;-246.335
15;4;10;1478.001
15;4;18;-598.767
15;5;11;-1627.562
15;5;13;-97.261
15;5;16;1300.33
15;6;14;1445.212
15;7;10;-1092.435
15;7;12;791.086
15;7;15;16.169
15;7;17;-66.445
15;1;10;316.665
15;8;18;-54.534
15;9;17;863.027
15;9;18;-1073.561
15;10;15;888.903
15;10;16;100.668
15;10;17;-750.505
15;11;13;31.018
15;11;14;409.147
15;13;19;1364.841
15;15;16;-167.085
15;1;14;-906.277
15;2;8;-1192.083
15;2;9;982.768
15;3;6;83.371
15;3;8;381.128
15;3;18;44.358
15;4;9;-1772.443
16;1;4;1220.768
16;1;5;-568.32
16;4;10;1134.963
16;4;18;-582.687
16;5;11;-1627.562
16;5;13;-110.158
16;5;16;1300.33
16;6;14;1445.212
16;7;10;-887.405
16;7;12;654.948
16;7;15;12.936
16;7;17;-57.272
16;1;10;242.523
16;8;18;-120.933
16;9;17;772.841
16;9;18;-1021.728
16;10;15;721.674
16;10;16;72.961
16;10;17;-694.053
16;11;13;-193.319
16;11;14;564.711
16;13;19;1214.486
16;15;16;-277.095
16;1;14;-1136.371
16;2;8;-1017.771
16;2;9;897.723
16;3;6;27.881
16;3;8;452.325
16;3;18;47.238
16;4;9;-1772.443
17;1;4;1286.978
17;1;5;-626.768
17;4;10;1200.423
17;4;18;-526.673
17;5;11;-1627.562
17;5;13;-108.625
17;5;16;1300.33
17;6;14;1087.849
17;7;10;-665.32
17;7;12;521.999
17;7;15;-1.096
17;7;17;-52.509
17;1;10;256.169
17;8;18;-263.006
17;9;17;774.508
17;9;18;-841.174
17;10;15;519.523
17;10;16;39.217
17;10;17;-765.358
17;11;13;-166.654
17;11;14;675.382
17;13;19;1188.066
17;15;16;-414.145
17;1;14;-1075.068
17;2;8;208.66
17;2;9;1020.335
17;3;6;-496.638
17;3;8;-349.453
17;3;18;-70.775
17;4;9;-1772.443
18;1;4;1138.77
18;1;5;-251.518
18;4;10;981.377
18;4;18;-407.283
18;5;11;-1603.392
18;5;13;-128.445
18;5;16;915.545
18;6;14;1445.212
18;7;10;-426.45
18;7;12;274.035
18;7;15;93.412
18;7;17;-41.033
18;1;10;216.465
18;8;18;43.238
18;9;17;622.871
18;9;18;-607.696
18;10;15;520.835
18;10;16;51.994
18;10;17;-679.405
18;11;13;-537.018
18;11;14;204.592
18;13;19;939.207
18;15;16;-210.662
18;1;14;-1152.648
18;2;8;-564.709
18;2;9;709.847
18;3;6;-100.611
18;3;8;588.22
18;3;18;80.713
18;4;9;-1459.216
19;1;4;1600.085
19;1;5;-927.741
19;4;10;487.273
19;4;18;-2.54
19;5;11;-1466.91
19;5;13;-137.451
19;5;16;1270.654
19;6;14;77.008
19;7;10;-413.838
19;7;12;265.137
19;7;15;-26.981
19;7;17;-27.729
19;1;10;191.556
19;8;18;180.222
19;9;17;371.352
19;9;18;434.394
19;10;15;270.662
19;10;16;-3.46
19;10;17;-349.807
19;11;13;-838.15
19;11;14;1345.293
19;13;19;781.092
19;15;16;-601.177
19;1;14;-526.448
19;2;8;383.935
19;2;9;-230.232
19;3;6;-544.003
19;3;8;-231.48
19;3;18;-12.793
19;4;9;-915.889
20;1;4;1323.243
20;1;5;-694.813
20;4;10;1109.805
20;4;18;-171.44
20;5;11;-1593.744
20;5;13;-129.053
20;5;16;1266.813
20;6;14;705.337
20;7;10;-594.641
20;7;12;311.429
20;7;15;-50.632
20;7;17;-40.942
20;1;10;247.673
20;8;18;481.696
20;9;17;759.447
20;9;18;236.387
20;10;15;365.234
20;10;16;12.427
20;10;17;-530.747
20;11;13;-557.793
20;11;14;853.786
20;13;19;925.569
20;15;16;-535.451
20;1;14;-919.02
20;2;8;306.127
20;2;9;442.317
20;3;6;-293.612
20;3;8;49.632
20;3;18;52.787
20;4;9;-1632.787
21;1;4;1600.085
21;1;5;-472.334
21;4;10;1162.689
21;4;18;-137.596
21;5;11;-1627.562
21;5;13;-150.166
21;5;16;1194.842
21;6;14;254.003
21;7;10;-651.063
21;7;12;427.113
21;7;15;-37.456
21;7;17;-33.134
21;1;10;276.847
21;8;18;253.216
21;9;17;670.408
21;9;18;105.957
21;10;15;435.773
21;10;16;26.297
21;10;17;-281.744
21;11;13;-889.259
21;11;14;845.683
21;13;19;910.075
21;15;16;-453.831
21;1;14;-658.477
21;2;8;328.784
21;2;9;341.012
21;3;6;-403.116
21;3;8;-233.621
21;3;18;-6.052
21;4;9;-1137.108
22;1;4;1600.085
22;1;5;-670.663
22;4;10;435.859
22;4;18;-30.851
22;5;11;-1627.562
22;5;13;-174.565
22;5;16;863.772
22;6;14;23.948
22;7;10;-25.042
22;7;12;-328.064
22;7;15;-53.559
22;7;17;0.658
22;1;10;185.064
22;8;18;177.465
22;9;17;393.26
22;9;18;255.129
22;10;15;-87.259
22;10;16;-73.654
22;10;17;38.629
22;11;13;-1313.685
22;11;14;1135.775
22;13;19;1100.773
22;15;16;-1012.383
22;1;14;-557.297
22;2;8;453.124
22;2;9;71.458
22;3;6;-509.697
22;3;8;-260.83
22;3;18;-16.878
22;4;9;-733.762
23;1;4;1599.991
23;1;5;-732.475
23;4;10;320.257
23;4;18;-48.916
23;5;11;-1627.562
23;5;13;-185.758
23;5;16;760.983
23;6;14;-4.611
23;7;10;-83.253
23;7;12;-216.619
23;7;15;-172.146
23;7;17;-0.831
23;1;10;170.458
23;8;18;265.727
23;9;17;408.198
23;9;18;263.464
23;10;15;-278.294
23;10;16;-119.48
23;10;17;51.162
23;11;13;-1508.385
23;11;14;1228.784
23;13;19;1297.433
23;15;16;-1366.736
23;1;14;-522.515
23;2;8;713.363
23;2;9;303.761
23;3;6;-469.594
23;3;8;-350.809
23;3;18;-20.1
23;4;9;-871.513
24;1;4;1501.294
24;1;5;-690.861
24;4;10;425.003
24;4;18;-95.356
24;5;11;-1627.562
