hour;bus;E_i;E_s
13;4;1184.211;560.942
13;5;504.682;454.984
13;6;562.5;562.5
13;7;0.0;0.0
13;8;59.211;59.211
13;9;621.711;621.711
13;10;267.954;267.954
13;11;59.211;59.211
13;12;562.5;562.5
13;13;562.5;562.5
13;14;562.5;562.5
13;15;562.5;168.45
13;16;302.943;302.943
13;17;86.477;0.0
13;18;562.5;0.0
13;19;694.134;942.919
14;1;273.588;273.588
14;2;562.5;59.211
14;3;562.5;562.5
14;4;560.942;139.922
14;5;454.984;0.0
14;6;562.5;562.5
14;7;0.0;0.0
14;8;59.211;59.211
14;9;621.711;621.711
14;10;267.954;0.0
14;11;59.211;59.211
14;12;562.5;0.0
14;13;562.5;562.5
14;14;562.5;562.5
14;15;168.45;54.767
14;16;302.943;114.066
14;17;0.0;0.0
14;18;0.0;0.0
14;19;942.919;980.419
15;1;273.588;626.168
15;2;59.211;59.211
15;3;562.5;562.5
15;4;139.922;0.0
15;5;0.0;0.0
15;6;562.5;562.5
15;7;0.0;0.0
15;8;59.211;59.211
15;9;621.711;621.711
15;10;0.0;0.0
15;11;59.211;59.211
15;12;0.0;0.0
15;13;562.5;562.5
15;14;562.5;562.5
15;15;54.767;54.767
15;16;114.066;57.03
15;17;0.0;0.0
15;18;0.0;0.0
15;19;980.419;371.853
16;1;626.168;1077.462
16;2;59.211;59.211
16;3;562.5;562.5
16;4;0.0;0.0
16;5;0.0;562.5
16;6;562.5;562.5
16;7;0.0;0.0
16;8;59.211;59.211
16;9;621.711;621.711
16;10;0.0;0.0
16;11;59.211;59.211
16;12;0.0;0.0
16;13;562.5;562.5
16;14;562.5;562.5
16;15;54.767;54.767
16;16;57.03;57.03
16;17;0.0;0.0
16;18;0.0;0.0
16;19;371.853;41.546
17;1;1077.462;1184.211
17;2;59.211;621.711
17;3;562.5;621.711
17;4;0.0;0.0
17;5;562.5;621.711
17;6;562.5;621.711
17;7;0.0;0.0
17;8;59.211;621.711
17;9;621.711;1184.211
17;10;0.0;0.0
17;11;59.211;621.711
17;12;0.0;0.0
17;13;562.5;950.766
17;14;562.5;621.711
17;15;54.767;54.767
17;16;57.03;355.725
17;17;0.0;59.211
17;18;0.0;485.848
17;19;41.546;0.0
18;1;1184.211;1184.211
18;2;621.711;1184.211
18;3;621.711;1184.211
18;4;0.0;109.723
18;5;621.711;621.711
18;6;621.711;1184.211
18;7;0.0;0.0
18;8;621.711;1184.211
18;9;1184.211;1184.211
18;10;0.0;0.0
18;11;621.711;1184.211
18;12;0.0;540.017
18;13;950.766;950.766
18;14;621.711;1184.211
18;15;54.767;457.814
18;16;355.725;918.225
18;17;59.211;621.711
18;18;485.848;1048.348
18;19;0.0;406.391
19;1;1184.211;1184.211
19;2;1184.211;1184.211
19;3;1184.211;1184.211
19;4;109.723;159.469
19;5;621.711;1184.211
19;6;1184.211;1184.211
19;7;0.0;405.667
19;8;1184.211;1184.211
19;9;1184.211;1184.211
19;10;0.0;0.0
19;11;1184.211;1184.211
19;12;540.017;540.017
19;13;950.766;950.766
19;14;1184.211;1184.211
19;15;457.814;1020.314
19;16;918.225;1184.211
19;17;621.711;1184.211
19;18;1048.348;1184.211
19;19;406.391;798.409
20;1;1184.211;1184.211
20;2;1184.211;1184.211
20;3;1184.211;1184.211
20;4;159.469;159.469
20;5;1184.211;1184.211
20;6;1184.211;1184.211
20;7;405.667;405.667
20;8;1184.211;1184.211
20;9;1184.211;1184.211
20;10;0.0;0.0
20;11;1184.211;739.241
20;12;540.017;540.017
20;13;950.766;950.766
20;14;1184.211;1184.211
20;15;1020.314;1020.314
20;16;1184.211;1184.211
20;17;1184.211;1184.211
20;18;1184.211;1184.211
20;19;798.409;1031.953
21;1;1184.211;1184.211
21;2;1184.211;1184.211
21;3;1184.211;1055.163
21;4;159.469;0.0
21;5;1184.211;1184.211
21;6;1184.211;1098.742
21;7;405.667;405.667
21;8;1184.211;1184.211
21;9;1184.211;1184.211
21;10;0.0;0.0
21;11;739.241;115.972
21;12;540.017;540.017
21;13;950.766;950.766
21;14;1184.211;560.942
21;15;1020.314;1020.314
21;16;1184.211;1184.211
21;17;1184.211;1184.211
21;18;1184.211;560.942
21;19;1031.953;1031.953
22;1;1184.211;1184.211
22;2;1184.211;623.269
22;3;1055.163;623.269
22;4;0.0;0.0
22;5;1184.211;1184.211
22;6;1098.742;1098.742
22;7;405.667;405.667
22;8;1184.211;1184.211
22;9;1184.211;1184.211
22;10;0.0;0.0
22;11;115.972;115.972
22;12;540.017;540.017
22;13;950.766;861.925
22;14;560.942;426.345
22;15;1020.314;1020.314
22;16;1184.211;560.942
22;17;1184.211;1184.211
22;18;560.942;560.942
22;19;1031.953;506.867
23;1;1184.211;623.269
23;2;623.269;0.0
23;3;623.269;0.0
23;4;0.0;0.0
23;5;1184.211;623.269
23;6;1098.742;623.269
23;7;405.667;405.667
23;8;1184.211;560.942
23;9;1184.211;560.942
23;10;0.0;0.0
23;11;115.972;115.972
23;12;540.017;540.017
23;13;861.925;238.657
23;14;426.345;426.345
23;15;1020.314;623.269
