bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;672.6727796;0.95;0.95;336.3363898;336.3363898
2;0;410.9462808;0.95;0.95;205.4731404;205.4731404
3;0;410.9462808;0.95;0.95;205.4731404;205.4731404
4;0;23.14306861;0.95;0.95;11.57153431;11.57153431
5;0;488.0340143;0.95;0.95;244.0170072;244.0170072
6;0;278.1826276;0.95;0.95;139.0913138;139.0913138
7;0;231.2205532;0.95;0.95;115.6102766;115.6102766
8;0;410.9462808;0.95;0.95;205.4731404;205.4731404
9;0;1060.586071;0.95;0.95;530.2930357;530.2930357
10;0;231.2205532;0.95;0.95;115.6102766;115.6102766
11;0;367.8906782;0.95;0.95;183.9453391;183.9453391
12;0;246.3790718;0.95;0.95;123.1895359;123.1895359
13;0;60.25683212;0.95;0.95;30.12841606;30.12841606
14;0;125.021088;0.95;0.95;62.51054398;62.51054398
15;0;2.128624695;0.95;0.95;1.064312347;1.064312347
16;0;16.27502982;0.95;0.95;8.137514911;8.137514911
17;0;231.2205532;0.95;0.95;115.6102766;115.6102766
18;0;672.6727796;0.95;0.95;336.3363898;336.3363898
19;0;60.25683212;0.95;0.95;30.12841606;30.12841606
