bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;152.0306873;0.95;0.95;76.01534364;76.01534364
2;0;142.9001448;0.95;0.95;71.45007239;71.45007239
3;0;0;0.95;0.95;0;0
4;0;1.342483309;0.95;0.95;0.671241654;0.671241654
5;0;63.71537756;0.95;0.95;31.85768878;31.85768878
6;0;22.33803655;0.95;0.95;11.16901827;11.16901827
7;0;20.18647869;0.95;0.95;10.09323934;10.09323934
8;0;56.02497761;0.95;0.95;28.0124888;28.0124888
9;0;384.4250921;0.95;0.95;192.2125461;192.2125461
10;0;15.08500264;0.95;0.95;7.54250132;7.54250132
11;0;40.04015843;0.95;0.95;20.02007921;20.02007921
12;0;12.14316712;0.95;0.95;6.071583559;6.071583559
13;0;4.497362787;0.95;0.95;2.248681393;2.248681393
14;0;6.284881272;0.95;0.95;3.142440636;3.142440636
15;0;0.043806153;0.95;0.95;0.021903077;0.021903077
16;0;0.392347493;0.95;0.95;0.196173746;0.196173746
17;0;12.64657604;0.95;0.95;6.323288018;6.323288018
18;0;61.66269134;0.95;0.95;30.83134567;30.83134567
19;0;4.240728843;0.95;0.95;2.120364421;2.120364421
