bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1102.860771;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1519.537357;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1040.514211;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2781.62264;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1431.871425;0;0;0;1;1;0;100;1;1.1;0.9
6;1;981.269167;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1177.998317;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1426.241061;0;0;0;1;1;0;100;1;1.1;0.9
9;1;794.821816;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1158.188811;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1202.051864;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1784.583404;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1420.058813;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2003.722823;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1081.818806;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2400.11335;0;0;0;1;1;0;100;1;1.1;0.9
17;1;707.8519309;0;0;0;1;1;0;100;1;1.1;0.9
18;1;805.2863841;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2500.587049;0;0;0;1;1;0;100;1;1.1;0.9
