bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;984.4246407;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1356.354362;0;0;0;1;1;0;100;1;1.1;0.9
3;1;928.7734728;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2482.904408;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1278.102867;0;0;0;1;1;0;100;1;1.1;0.9
6;1;875.8907498;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1051.493173;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1273.077147;0;0;0;1;1;0;100;1;1.1;0.9
9;1;709.4659648;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1033.811008;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1072.963611;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1592.937135;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1267.558811;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1788.54319;0;0;0;1;1;0;100;1;1.1;0.9
15;1;965.6423713;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2142.36537;0;0;0;1;1;0;100;1;1.1;0.9
17;1;631.8357688;0;0;0;1;1;0;100;1;1.1;0.9
18;1;718.8067438;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2232.049206;0;0;0;1;1;0;100;1;1.1;0.9
