bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;912.1841237;0.95;0.95;456.0920618;456.0920618
2;0;857.4008686;0.95;0.95;428.7004343;428.7004343
3;0;0;0.95;0.95;0;0
4;0;8.054899852;0.95;0.95;4.027449926;4.027449926
5;0;382.2922654;0.95;0.95;191.1461327;191.1461327
6;0;134.0282193;0.95;0.95;67.01410964;67.01410964
7;0;121.1188721;0.95;0.95;60.55943606;60.55943606
8;0;336.1498657;0.95;0.95;168.0749328;168.0749328
9;0;2306.550553;0.95;0.95;1153.275276;1153.275276
10;0;90.51001584;0.95;0.95;45.25500792;45.25500792
11;0;240.2409506;0.95;0.95;120.1204753;120.1204753
12;0;72.8590027;0.95;0.95;36.42950135;36.42950135
13;0;26.98417672;0.95;0.95;13.49208836;13.49208836
14;0;37.70928763;0.95;0.95;18.85464382;18.85464382
15;0;0.262836918;0.95;0.95;0.131418459;0.131418459
16;0;2.354084956;0.95;0.95;1.177042478;1.177042478
17;0;75.87945622;0.95;0.95;37.93972811;37.93972811
18;0;369.9761481;0.95;0.95;184.988074;184.988074
19;0;25.44437306;0.95;0.95;12.72218653;12.72218653
