bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;956.046795;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1317.25496;0;0;0;1;1;0;100;1;1.1;0.9
3;1;901.9998741;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2411.330135;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1241.259208;0;0;0;1;1;0;100;1;1.1;0.9
6;1;850.6415926;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1021.181953;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1236.378364;0;0;0;1;1;0;100;1;1.1;0.9
9;1;689.0143072;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1004.009509;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1042.033467;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1547.017801;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1231.019104;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1736.985152;0;0;0;1;1;0;100;1;1.1;0.9
15;1;937.805959;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2080.607759;0;0;0;1;1;0;100;1;1.1;0.9
17;1;613.621944;0;0;0;1;1;0;100;1;1.1;0.9
18;1;698.0858211;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2167.706294;0;0;0;1;1;0;100;1;1.1;0.9
