bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1243.377528;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1713.143358;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1173.087321;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3136.032377;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1614.307808;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1106.293799;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1328.088437;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1607.960073;0;0;0;1;1;0;100;1;1.1;0.9
9;1;896.0909767;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1305.754979;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1355.206673;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2011.959226;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1600.990138;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2259.01945;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1219.654583;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2705.91455;0;0;0;1;1;0;100;1;1.1;0.9
17;1;798.0401587;0;0;0;1;1;0;100;1;1.1;0.9
18;1;907.8888474;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2819.189718;0;0;0;1;1;0;100;1;1.1;0.9
