bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1180.809021;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1626.935572;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1114.055916;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2978.222813;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1533.073566;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1050.623538;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1261.257157;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1527.045258;0;0;0;1;1;0;100;1;1.1;0.9
9;1;850.9984173;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1240.04755;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1287.010765;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1910.714605;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1520.426061;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2145.342411;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1158.279848;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2569.749121;0;0;0;1;1;0;100;1;1.1;0.9
17;1;757.8816545;0;0;0;1;1;0;100;1;1.1;0.9
18;1;862.2026026;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2677.324123;0;0;0;1;1;0;100;1;1.1;0.9
