bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1267.960897;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1747.014675;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1196.280951;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3198.036263;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1646.225003;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1128.166824;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1354.346662;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1639.751764;0;0;0;1;1;0;100;1;1.1;0.9
9;1;913.8079887;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1331.571639;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1382.001065;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2051.738564;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1632.644024;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2303.683525;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1243.768915;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2759.414386;0;0;0;1;1;0;100;1;1.1;0.9
17;1;813.8185646;0;0;0;1;1;0;100;1;1.1;0.9
18;1;925.8391204;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2874.929168;0;0;0;1;1;0;100;1;1.1;0.9
