bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1261.017811;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1737.448391;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1189.730369;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3180.524492;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1637.210623;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1121.989221;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1346.930546;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1630.77283;0;0;0;1;1;0;100;1;1.1;0.9
9;1;908.8041692;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1324.280234;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1374.433519;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2040.503677;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1623.70401;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2291.069041;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1236.958299;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2744.304416;0;0;0;1;1;0;100;1;1.1;0.9
17;1;809.362266;0;0;0;1;1;0;100;1;1.1;0.9
18;1;920.769421;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2859.186663;0;0;0;1;1;0;100;1;1.1;0.9
