bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1305.663468;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1798.961817;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1231.852133;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3293.129252;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1695.175185;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1161.712646;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1394.617898;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1688.509465;0;0;0;1;1;0;100;1;1.1;0.9
9;1;940.9798922;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1371.165664;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1423.094599;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2112.746613;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1681.190378;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2372.183109;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1280.752142;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2841.465039;0;0;0;1;1;0;100;1;1.1;0.9
17;1;838.0173019;0;0;0;1;1;0;100;1;1.1;0.9
18;1;953.3687673;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2960.41463;0;0;0;1;1;0;100;1;1.1;0.9
