bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1258.999472;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1734.667495;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1187.82613;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3175.433861;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1634.590164;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1120.193406;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1344.774698;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1628.162675;0;0;0;1;1;0;100;1;1.1;0.9
9;1;907.3495705;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1322.16064;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1372.233651;0;0;0;1;1;0;100;1;1.1;0.9
12;1;2037.237721;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1621.105169;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2287.40204;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1234.978469;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2739.911983;0;0;0;1;1;0;100;1;1.1;0.9
17;1;808.0668304;0;0;0;1;1;0;100;1;1.1;0.9
18;1;919.2956711;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2854.610354;0;0;0;1;1;0;100;1;1.1;0.9
