bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1149.403667;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1583.664826;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1084.425959;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2899.012593;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1492.299218;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1022.680658;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1227.712166;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1486.431242;0;0;0;1;1;0;100;1;1.1;0.9
9;1;828.3648618;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1207.06666;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1252.78082;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1859.896338;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1479.988091;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2088.283872;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1127.47369;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2501.40286;0;0;0;1;1;0;100;1;1.1;0.9
17;1;737.7246763;0;0;0;1;1;0;100;1;1.1;0.9
18;1;839.2710553;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2606.116747;0;0;0;1;1;0;100;1;1.1;0.9
