bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1087.682862;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1498.625017;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1026.194334;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2743.341095;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1412.16557;0;0;0;1;1;0;100;1;1.1;0.9
6;1;967.7646391;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1161.786342;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1406.612693;0;0;0;1;1;0;100;1;1.1;0.9
9;1;783.8832339;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1142.249461;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1185.508857;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1760.023419;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1400.515527;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1976.146974;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1066.930483;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2367.082253;0;0;0;1;1;0;100;1;1.1;0.9
17;1;698.1102551;0;0;0;1;1;0;100;1;1.1;0.9
18;1;794.2037853;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2466.173201;0;0;0;1;1;0;100;1;1.1;0.9
