bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;1215.040049;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1674.099574;0;0;0;1;1;0;100;1;1.1;0.9
3;1;1146.351808;0;0;0;1;1;0;100;1;1.1;0.9
4;1;3064.559916;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1577.516558;0;0;0;1;1;0;100;1;1.1;0.9
6;1;1081.080558;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1297.820334;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1571.313492;0;0;0;1;1;0;100;1;1.1;0.9
9;1;875.6684111;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1275.995872;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1324.320526;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1966.105211;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1564.502408;0;0;0;1;1;0;100;1;1.1;0.9
14;1;2207.534753;0;0;0;1;1;0;100;1;1.1;0.9
15;1;1191.857767;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2644.244788;0;0;0;1;1;0;100;1;1.1;0.9
17;1;779.8522426;0;0;0;1;1;0;100;1;1.1;0.9
18;1;887.1973998;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2754.938332;0;0;0;1;1;0;100;1;1.1;0.9
