bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;87.45003638;0.95;0.95;43.72501819;43.72501819
2;0;47.09981162;0.95;0.95;23.54990581;23.54990581
3;0;47.09981162;0.95;0.95;23.54990581;23.54990581
4;0;1.113026778;0.95;0.95;0.556513389;0.556513389
5;0;134.9514138;0.95;0.95;67.4757069;67.4757069
6;0;17.4695284;0.95;0.95;8.734764199;8.734764199
7;0;62.82349212;0.95;0.95;31.41174606;31.41174606
8;0;47.09981162;0.95;0.95;23.54990581;23.54990581
9;0;52.48480807;0.95;0.95;26.24240403;26.24240403
10;0;62.82349212;0.95;0.95;31.41174606;31.41174606
11;0;88.63609671;0.95;0.95;44.31804835;44.31804835
12;0;121.9623072;0.95;0.95;60.98115358;60.98115358
13;0;20.49819604;0.95;0.95;10.24909802;10.24909802
14;0;31.80679491;0.95;0.95;15.90339746;15.90339746
15;0;0.816932692;0.95;0.95;0.408466346;0.408466346
16;0;5.092715449;0.95;0.95;2.546357725;2.546357725
17;0;62.82349212;0.95;0.95;31.41174606;31.41174606
18;0;87.45003638;0.95;0.95;43.72501819;43.72501819
19;0;20.49819604;0.95;0.95;10.24909802;10.24909802
