bus;Emin;Emax;eta_c;eta_d;Pcmax;Pdmax
1;0;112.1121299;0.95;0.95;56.05606496;56.05606496
2;0;68.49104681;0.95;0.95;34.2455234;34.2455234
3;0;68.49104681;0.95;0.95;34.2455234;34.2455234
4;0;3.857178102;0.95;0.95;1.928589051;1.928589051
5;0;81.33900239;0.95;0.95;40.66950119;40.66950119
6;0;46.36377126;0.95;0.95;23.18188563;23.18188563
7;0;38.53675887;0.95;0.95;19.26837944;19.26837944
8;0;68.49104681;0.95;0.95;34.2455234;34.2455234
9;0;176.7643452;0.95;0.95;88.38217261;88.38217261
10;0;38.53675887;0.95;0.95;19.26837944;19.26837944
11;0;61.31511304;0.95;0.95;30.65755652;30.65755652
12;0;41.06317864;0.95;0.95;20.53158932;20.53158932
13;0;10.04280535;0.95;0.95;5.021402676;5.021402676
14;0;20.83684799;0.95;0.95;10.418424;10.418424
15;0;0.354770782;0.95;0.95;0.177385391;0.177385391
16;0;2.71250497;0.95;0.95;1.356252485;1.356252485
17;0;38.53675887;0.95;0.95;19.26837944;19.26837944
18;0;112.1121299;0.95;0.95;56.05606496;56.05606496
19;0;10.04280535;0.95;0.95;5.021402676;5.021402676
